word,pronunciation,meaning,description_en,example,word_type,collocation,related_words,note,deck_name,deck_tag
beneficial,/ˌbɛnəˈfɪʃəl/,có lợi,Producing or resulting in good effects or advantages; helpful or favorable.,"The beneficial effects of regular physical activity on cardiovascular health are well established, reducing the risk of hypertension and coronary artery disease.",adjective,"be beneficial, the beneficial, a beneficial","advantageous, favorable",,Health Sciences,IELTS 7.5+
inconvenient,/ˌɪnkənˈvinjənt/,bất tiện,"Causing trouble, difficulties, or discomfort; not suited to one's needs or purposes.","The decentralization of essential services to suburban peripheries has created an inconvenient reality for residents who lack private transportation, forcing them into lengthy and complex commutes.",adjective,"and inconvenient, an inconvenient, be inconvenient","troublesome, awkward",,Urban Planning,IELTS 7.5+
sufficiently,/səˈfɪʃəntli/,đủ,To a degree that is adequate or enough for a particular purpose.,"For the polymerization reaction to proceed to completion, the monomer must be sufficiently pure, as impurities can terminate the growing polymer chains prematurely.",adverb,"is sufficiently, not sufficiently, a sufficiently","adequately, enough",,Chemistry,IELTS 7.5+
rural,/ˈrʊrəl/,nông thôn,"Relating to, or characteristic of the countryside rather than the town.","Sociological studies indicate that the mechanization of agriculture significantly altered the social fabric of rural communities, leading to widespread migration to urban centers.",adjective,"the rural, in rural, of rural","pastoral, bucolic",,Sociology,IELTS 7.5+
heritage,/ˈhɛrɪtɪʤ/,di sản,"Valued property, traditions, or qualities, such as cultural artifacts, historical sites, and social customs, that are passed down from previous generations.","The preservation of intangible cultural heritage, such as oral traditions and performing arts, presents unique challenges compared to the conservation of physical monuments and artifacts.",noun,"cultural heritage, the heritage, a heritage","legacy, inheritance",,History,IELTS 7.5+
postpone,/poʊstˈpoʊn/,hoãn,To cause or arrange for an event or action to take place at a time later than that first scheduled.,"Due to unforeseen logistical complications in the supply chain, the project management team was compelled to postpone the final phase of the product launch until the next fiscal quarter.",verb,"to postpone, and postpone, or postpone","defer, delay",,Project Management,IELTS 7.5+
literacy,/ˈlɪtərəsi/,khả năng đọc viết,"The ability to read and write; more broadly, competence or knowledge in a specified area, such as financial literacy or computer literacy.","In an increasingly complex digital world, media literacy has become an essential competency for citizens to critically evaluate information and participate meaningfully in democratic processes.",noun,"of literacy, and literacy, the literacy","erudition, learning",,Education,IELTS 7.5+
mankind,/ˈmænˈkaɪnd/,nhân loại,The human race; human beings considered collectively.,"The development of agriculture is often cited as one of the most pivotal moments in the history of mankind, fundamentally altering societal structures and enabling the rise of civilizations.",noun,"of mankind, all mankind, to mankind","humanity, humankind",,Sociology,IELTS 7.5+
provoke,/prəˈvoʊk/,khiêu khích,"To stimulate or give rise to a reaction or emotion, typically a strong or unwelcome one, in someone; to incite to action.","The historian argued that the monarch's edict was a calculated move to provoke the nobility into open rebellion, thereby creating a pretext for their suppression.",verb,"to provoke, would provoke, and provoke","incite, instigate",,Sociology,IELTS 7.5+
behalf,/bɪˈhæf/,thay mặt,"The interest, support, or benefit of someone; typically used in the phrase 'on behalf of' to mean as a representative for or for the benefit of.","In deliberative democracy, representatives are expected to argue and reason on behalf of their constituents, not merely aggregate their pre-existing preferences.",noun,"on behalf, in behalf, his behalf","representation, agency",,Political Science,IELTS 7.5+
exceptionally,/ɪkˈsɛpʃənəli/,đặc biệt,To a greater degree than is normal or usual; in a way that is outstanding or special.,"The tardigrade is an exceptionally resilient microorganism, capable of surviving extreme conditions that would be lethal to nearly all other known life forms.",adverb,"an exceptionally, is exceptionally, was exceptionally","unusually, remarkably",,Biology,IELTS 7.5+
inefficient,/ˌɪnɪˈfɪʃənt/,không hiệu quả,Failing to make the best use of time or resources; not achieving maximum productivity and involving waste.,"Critics of the policy argued that the multi-layered approval system was inherently inefficient, causing significant delays and squandering public funds on redundant administrative tasks.",adjective,"and inefficient, an inefficient, is inefficient","unproductive, wasteful",,Economics,IELTS 7.5+
sacrifice,/ˈsækrəˌfaɪs/,hy sinh,To give up something that is valuable to you in order to help another person or to achieve a more important goal.,"In many collectivist cultures, individuals are often expected to sacrifice personal aspirations for the sake of family honor and communal stability.",verb,"the sacrifice, to sacrifice, a sacrifice","forgo, relinquish",,Sociology,IELTS 7.5+
precise,/prɪˈsaɪs/,chính xác,Marked by exactness and accuracy of expression or detail; clearly expressed or delineated.,"To achieve the desired performance, the manufacturing process requires precise control over temperature and pressure variables.",adjective,"the precise, more precise, a precise","exact, accurate",,Engineering,IELTS 7.5+
cultivation,/ˌkəltɪˈveɪʃən/,trồng trọt,The action of preparing and using land for crops or gardening; or the process of trying to acquire or develop a quality or skill.,"The transition from nomadic lifestyles to settled societies was largely driven by the successful cultivation of cereal grains, which provided a stable food source.",noun,"the cultivation, of cultivation, under cultivation","farming, tillage",,Agriculture,IELTS 7.5+
extinct,/ɪkˈstɪŋkt/,tuyệt chủng,No longer in existence; having no living members.,"The fossil record provides compelling evidence that many species that once roamed the Earth are now extinct, leaving behind only mineralized remains as a testament to their existence.",adjective,"become extinct, became extinct, the extinct","vanished, defunct",,Biology,IELTS 7.5+
bound,/baʊnd/,ràng buộc,To form the boundary or limit of; to enclose or surround.,"The vast desert, which stretches for hundreds of miles, is bounded on the north by a formidable mountain range, creating a natural barrier to migration.",verb,"is bound, are bound, was bound","border, delimit",,Geography,IELTS 7.5+
obstacle,/ˈɑbstəkəl/,trở ngại,A thing that blocks one's way or prevents or hinders progress.,A primary psychological obstacle to effective climate action is the cognitive dissonance individuals experience when their daily behaviors conflict with their environmental values.,noun,"an obstacle, the obstacle, no obstacle","impediment, hindrance",,Psychology,IELTS 7.5+
